limite superior;tiempo clave user_name linear_probing;tiempo clave user_id linear_probing;tiempo clave user_name quadratic;tiempo clave user_id quadratic;tiempo clave user_name double;tiempo clave user_id double;tiempo clave user_name abierto;tiempo clave user_id abierto;tiempo clave user_name stl;tiempo clave user_id stl
1000;0.00262484;0.00189646;0.00933066;0.00189058;0.00246687;0.0018572;0.00371317;0.00274813;0.00189011;0.00178418
5000;0.012062;0.00882304;0.0177911;0.00859229;0.0116557;0.00873235;0.01694;0.0124765;0.00942998;0.00906751
10000;0.0247731;0.0179281;0.0296182;0.0175288;0.0226881;0.018308;0.0333648;0.0241085;0.0185334;0.017863
15000;0.0401541;0.0282419;0.0443534;0.03005;0.0369263;0.027078;0.0405579;0.0319798;0.0282329;0.0271935
20000;0.0494074;0.0352722;0.0554559;0.0342423;0.0453647;0.0350754;0.0660496;0.0499653;0.0376021;0.0362291
1000;0.0025763;0.0018552;0.00871737;0.00183157;0.00240106;0.00182373;0.00371491;0.00271122;0.00189461;0.00182642
5000;0.0121262;0.0087285;0.0184803;0.00880745;0.0114733;0.00874346;0.0171026;0.0125799;0.00945261;0.00907809
10000;0.0246343;0.0177415;0.0291894;0.0174721;0.0231178;0.0183629;0.0333866;0.0247537;0.018537;0.0177814
15000;0.0404;0.0285672;0.0445005;0.0297777;0.0372877;0.0273155;0.0410245;0.0320035;0.0287434;0.0274613
20000;0.0490989;0.0349063;0.054327;0.0348943;0.0454365;0.0353056;0.0662563;0.0503572;0.0367485;0.0352583
1000;0.00288953;0.00193233;0.00911811;0.00190085;0.0025067;0.00184634;0.00374022;0.00275243;0.00190158;0.00182718
5000;0.0121557;0.00867614;0.0178168;0.00873613;0.0114576;0.00872796;0.0167307;0.0124068;0.0093117;0.00900573
10000;0.024628;0.0175293;0.0297182;0.0173684;0.0228753;0.0180582;0.0328318;0.0239777;0.0185693;0.0178056
15000;0.0400943;0.0281099;0.0433707;0.0296208;0.0371352;0.0272137;0.0409497;0.0318821;0.0280997;0.0271407
20000;0.0488762;0.035123;0.0559944;0.035607;0.0461647;0.0350742;0.0656046;0.0500046;0.0378678;0.0361715
1000;0.00274172;0.00190299;0.00873025;0.00191843;0.00245359;0.00181178;0.00383882;0.00271884;0.00187024;0.00181118
5000;0.012185;0.00879131;0.0180615;0.0087111;0.011558;0.00875789;0.0169454;0.0125871;0.00939268;0.0089923
10000;0.0242925;0.0177708;0.0289288;0.017427;0.0226322;0.018026;0.0334459;0.0241092;0.0183195;0.0175905
15000;0.0404951;0.0284204;0.0441807;0.0285909;0.0371352;0.0267743;0.0412261;0.0316318;0.028068;0.0268803
20000;0.0496003;0.0353923;0.0550319;0.0355422;0.045807;0.0348923;0.0659347;0.0505198;0.0380189;0.0361154
1000;0.00265179;0.00190094;0.00874696;0.00185123;0.00248185;0.00185001;0.00376679;0.0027604;0.00186192;0.00182064
5000;0.0120579;0.00867613;0.0181055;0.00873814;0.011379;0.00873105;0.0167515;0.0123093;0.00936315;0.00899393
10000;0.0243006;0.0175247;0.0295594;0.0171977;0.023196;0.0180942;0.0331529;0.0241433;0.0182913;0.0176307
15000;0.040301;0.0280162;0.0434323;0.0290315;0.0368576;0.0269004;0.0407414;0.0319942;0.0282937;0.0271466
20000;0.0497505;0.0347101;0.0558694;0.0352818;0.0455132;0.0341873;0.0658417;0.0502464;0.0369809;0.0354247
1000;0.00313945;0.00207582;0.00915798;0.00184022;0.0024216;0.00186952;0.00372883;0.00278148;0.00191538;0.00185653
5000;0.0122199;0.00875919;0.0178271;0.0087294;0.0114555;0.00874281;0.0168951;0.0122713;0.00925488;0.00890471
10000;0.024896;0.0181584;0.0294346;0.017449;0.022685;0.0180025;0.032997;0.024452;0.0187707;0.0181211
15000;0.0396446;0.0281183;0.0437089;0.0295204;0.0367705;0.0274145;0.041763;0.031845;0.028093;0.0268558
20000;0.0497368;0.0354572;0.0592019;0.0354788;0.0461353;0.0347621;0.0659206;0.0503704;0.0369818;0.0352953
1000;0.00279117;0.001882;0.00873377;0.00188255;0.00244248;0.0018319;0.00378854;0.0027216;0.00187709;0.00179496
5000;0.012229;0.00882612;0.0179217;0.00871201;0.011385;0.00886054;0.0166583;0.0122452;0.00926137;0.00897209
10000;0.0238166;0.017609;0.029339;0.0173237;0.0226124;0.0180557;0.0331773;0.0243006;0.0183552;0.0176545
15000;0.0396754;0.0283075;0.0443766;0.0292079;0.0377571;0.0275293;0.0411776;0.0315439;0.0285529;0.0273221
20000;0.0495715;0.0346181;0.0542426;0.0360933;0.04537;0.0350301;0.0660644;0.0502882;0.0369131;0.035609
1000;0.00269676;0.00188318;0.00868249;0.00184996;0.00245712;0.00181894;0.00370349;0.0026994;0.00192772;0.0018338
5000;0.0121345;0.0086909;0.0177375;0.00873093;0.0116758;0.00867377;0.0168379;0.0126541;0.00929289;0.00895331
10000;0.0245606;0.0178501;0.0294914;0.0173235;0.0227477;0.0181911;0.0328497;0.024589;0.0186192;0.0177476
15000;0.0416672;0.0283725;0.0438179;0.0299712;0.0379452;0.0276257;0.0410044;0.0318299;0.0286361;0.0272774
20000;0.0498764;0.0351587;0.0556637;0.0358495;0.0463553;0.0349714;0.0660149;0.0499302;0.0374375;0.0355515
